암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDQ4MTg4MSM1MSMkMSMkMCMkMTMkMzgxMTkxIzExIyQxIyQ3IyQ3MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,21C메트로한방병원,한방병원,서울특별시,은평구,"서울특별시 은평구 갈현로 24, 2층 201,202호 (신사동)",한방,2016-01-07
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,21C프라자내과의원,의원,경기도,성남시 수정구,"경기도 성남시 수정구 수정로 106, 503호 (수진동)",내과,2007-06-01
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNDEjJDEjJDgjJDgz,21C한일병원,정신병원,경상남도,거제시,경상남도 거제시 사등면 지석로 70,해당사항없음,2008-04-29
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,21성형외과의원,의원,서울특별시,서초구,"서울특별시 서초구 강남대로 441, 서산빌딩 10층 (서초동)",성형외과,2022-12-09
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQ3IyQ3OSQyNjE0ODEjNjEjJDEjJDgjJDgz,21세기 동규약국,약국,경기도,오산시,경기도 오산시 대원로 1 (오산동),해당사항없음,2008-12-16
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxOTYxIzExIyQxIyQ3IyQxMyQzNjE4MzIjNjEjJDEjJDgjJDgz,21세기 정약국,약국,경기도,수원시 권선구,"경기도 수원시 권선구 정조로 523, 1층 (세류동)",해당사항없음,2015-05-27
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5MiQyNjE4MzIjNzEjJDEjJDgjJDgz,21세기 중앙의원,의원,전북특별자치도,익산시,"전북특별자치도 익산시 무왕로26길 3, 부송우남아파트 상가 201호 (부송동)",일반의,2008-06-17
JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ4MiQyNjE0ODEjODEjJDEjJDYjJDgz,21세기 충주제통의원,의원,충청북도,충주시,충청북도 충주시 봉현로 222 (교현동),일반의,2011-10-25
JDQ4MTYyMiM2MSMkMSMkNiMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQwMyQzNjE0ODEjNDEjJDEjJDgjJDgz,21세기건강약국,약국,전북특별자치도,전주시 덕진구,전북특별자치도 전주시 덕진구 송천중앙로 39 (덕진동2가),해당사항없음,2008-12-02
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ5OSQzNjEyMjIjNzEjJDEjJDgjJDgz,21세기건강약국,약국,광주광역시,북구,광주광역시 북구 면앙로32번길 1 (문흥동),해당사항없음,1996-03-28
